Country,Date,NewCases,NewDeaths
Brazil,5/25/2020,15813,653
Brazil,5/26/2020,11687,807
Brazil,5/27/2020,16324,1039
Brazil,5/28/2020,20599,1086
Brazil,5/29/2020,26417,1156
Brazil,5/30/2020,26928,1124
Brazil,5/31/2020,33274,956
Brazil,6/1/2020,16409,480
Brazil,6/2/2020,11598,623
Brazil,6/3/2020,28936,1262
Brazil,6/4/2020,28633,1349
Brazil,6/5/2020,30916,1473
Brazil,6/6/2020,30830,1005
Brazil,6/7/2020,27075,904
Brazil,6/8/2020,18921,525
Brazil,6/9/2020,15654,679
Brazil,6/10/2020,32091,1272
Brazil,6/11/2020,32913,1274
Brazil,6/12/2020,30412,1239
Brazil,6/13/2020,25982,909
Brazil,6/14/2020,21704,892
Brazil,6/15/2020,17110,612
Brazil,6/16/2020,20647,627
Brazil,6/17/2020,34918,1282
Brazil,6/18/2020,32188,1269
Brazil,6/19/2020,22765,1238
Brazil,6/20/2020,54771,1206
Brazil,6/21/2020,34666,1022
Brazil,6/22/2020,17459,641
Brazil,6/23/2020,21432,654
Brazil,6/24/2020,39436,1374
Brazil,6/25/2020,42725,1185
Brazil,6/26/2020,39483,1141
Brazil,6/27/2020,46860,990
Brazil,6/28/2020,38693,1109
Brazil,6/29/2020,30476,552
Brazil,6/30/2020,24052,692
Brazil,7/1/2020,33846,1280
Brazil,7/2/2020,46712,1038
Brazil,7/3/2020,48105,1252
Brazil,7/4/2020,42223,1290
Brazil,7/5/2020,37923,1091
Brazil,7/6/2020,26051,602
Brazil,7/7/2020,20229,620
Brazil,7/8/2020,45305,1254
Brazil,7/9/2020,44571,1223
Brazil,7/10/2020,42619,1220
Brazil,7/11/2020,45048,1214
Brazil,7/12/2020,39023,1071
Brazil,7/13/2020,24831,631
Brazil,7/14/2020,20286,733
Brazil,7/15/2020,41857,1300
Brazil,7/16/2020,39924,1233
Brazil,7/17/2020,45403,1322
Brazil,7/18/2020,34177,1163
Brazil,7/19/2020,28532,921
Brazil,7/20/2020,23529,716
Brazil,7/21/2020,20257,632
Brazil,7/22/2020,41008,1367
Brazil,7/23/2020,67860,1284
Brazil,7/24/2020,59961,1311
Brazil,7/25/2020,55891,1156
Brazil,7/26/2020,51147,1211
Brazil,7/27/2020,24578,555
Brazil,7/28/2020,23284,614
Brazil,7/29/2020,40816,921
Brazil,7/30/2020,69074,1595
Brazil,7/31/2020,57837,1129
Brazil,8/1/2020,52383,1212
Brazil,8/2/2020,45392,1088
Brazil,8/3/2020,25800,541
Brazil,8/4/2020,16641,561
Brazil,8/5/2020,51603,1154
Brazil,8/6/2020,57152,1437
Brazil,8/7/2020,53139,1237
Brazil,8/8/2020,50230,1079
Brazil,8/9/2020,49970,905
Brazil,8/10/2020,23010,572
Brazil,8/11/2020,22048,703
Brazil,8/12/2020,52160,1274
Brazil,8/13/2020,55155,1175
Brazil,8/14/2020,60091,1262
Brazil,8/15/2020,50644,1060
Brazil,8/16/2020,41576,709
Brazil,8/17/2020,23101,620
Brazil,8/18/2020,19373,684
Brazil,8/19/2020,47784,1352
Brazil,8/20/2020,49298,1212
Brazil,8/21/2020,45323,1204
Brazil,8/22/2020,30355,1054
Brazil,8/23/2020,50032,892
Brazil,8/24/2020,23421,494
Brazil,8/25/2020,17078,565
Brazil,8/26/2020,47134,1271
Brazil,8/27/2020,47161,1085
Brazil,8/28/2020,44235,984
Brazil,8/29/2020,43412,855
Brazil,8/30/2020,41350,958
Brazil,8/31/2020,16158,366
Brazil,9/1/2020,45961,553
Brazil,9/2/2020,42659,1215
Brazil,9/3/2020,46934,1184
Brazil,9/4/2020,43773,834
Brazil,9/5/2020,51194,907
Brazil,9/6/2020,30168,682
Brazil,9/7/2020,14521,447
Brazil,9/8/2020,10273,310
Brazil,9/9/2020,14279,504
Brazil,9/10/2020,35816,1075
Brazil,9/11/2020,40557,983
Brazil,9/12/2020,43718,874
Brazil,9/13/2020,33523,814
Brazil,9/14/2020,14768,415
Brazil,9/15/2020,15155,381
Brazil,9/16/2020,36653,1113
Brazil,9/17/2020,36820,987
Brazil,9/18/2020,36303,829
Brazil,9/19/2020,39797,858
Brazil,9/20/2020,33057,739
Brazil,9/21/2020,16389,363
Brazil,9/22/2020,13439,377
Brazil,9/23/2020,33536,836
Brazil,9/24/2020,33281,869
Brazil,9/25/2020,32817,831
Brazil,9/26/2020,31911,729
Brazil,9/27/2020,28378,869
Brazil,9/28/2020,14318,335
Brazil,9/29/2020,13155,317
Brazil,9/30/2020,32058,863
Brazil,10/1/2020,33413,1031
Brazil,10/2/2020,36157,728
Brazil,10/3/2020,33431,708
Brazil,10/4/2020,26310,599
Brazil,10/5/2020,8456,365
Brazil,10/6/2020,11946,323
Brazil,10/7/2020,41906,819
Brazil,10/8/2020,31553,734
Brazil,10/9/2020,27750,729
Brazil,10/10/2020,27444,682
Brazil,10/11/2020,26749,559
Brazil,10/12/2020,12345,290
Brazil,10/13/2020,8426,201
Brazil,10/14/2020,10220,309
Brazil,10/15/2020,27235,749
Brazil,10/16/2020,28523,713
Brazil,10/17/2020,30914,754
Brazil,10/18/2020,24062,461
Brazil,10/19/2020,10982,230
Brazil,10/20/2020,15383,271
Brazil,10/21/2020,23227,661
Brazil,10/22/2020,24818,566
Brazil,10/23/2020,24858,497
Brazil,10/24/2020,30026,571
Brazil,10/25/2020,26979,432
Brazil,10/26/2020,13493,231
US,1/1/2020,0,0
US,1/2/2020,0,0
US,1/3/2020,0,0
US,1/4/2020,0,0
US,1/5/2020,0,0
US,1/6/2020,0,0
US,1/7/2020,0,0
US,1/8/2020,0,0
US,1/9/2020,0,0
US,1/10/2020,0,0
US,1/11/2020,0,0
US,1/12/2020,0,0
US,1/13/2020,0,0
US,1/14/2020,0,0
US,1/15/2020,0,0
US,1/16/2020,0,0
US,1/17/2020,0,0
US,1/18/2020,0,0
US,1/19/2020,0,0
US,1/20/2020,0,0
US,1/21/2020,1,0
US,1/22/2020,0,0
US,1/23/2020,0,0
US,1/24/2020,0,0
US,1/25/2020,1,0
US,1/26/2020,0,0
US,1/27/2020,3,0
US,1/28/2020,0,0
US,1/29/2020,0,0
US,1/30/2020,0,0
US,1/31/2020,1,0
US,2/1/2020,1,0
US,2/2/2020,1,0
US,2/3/2020,3,0
US,2/4/2020,0,0
US,2/5/2020,0,0
US,2/6/2020,1,0
US,2/7/2020,0,0
US,2/8/2020,0,0
US,2/9/2020,0,0
US,2/10/2020,0,0
US,2/11/2020,1,0
US,2/12/2020,0,0
US,2/13/2020,1,0
US,2/14/2020,1,0
US,2/15/2020,0,0
US,2/16/2020,0,0
US,2/17/2020,0,0
US,2/18/2020,0,0
US,2/19/2020,0,0
US,2/20/2020,0,0
US,2/21/2020,1,0
US,2/22/2020,19,0
US,2/23/2020,0,0
US,2/24/2020,0,0
US,2/25/2020,18,0
US,2/26/2020,0,0
US,2/27/2020,6,0
US,2/28/2020,1,0
US,2/29/2020,6,0
US,3/1/2020,3,1
US,3/2/2020,20,1
US,3/3/2020,14,4
US,3/4/2020,22,3
US,3/5/2020,34,2
US,3/6/2020,74,1
US,3/7/2020,105,2
US,3/8/2020,95,3
US,3/9/2020,121,4
US,3/10/2020,200,5
US,3/11/2020,271,2
US,3/12/2020,287,2
US,3/13/2020,351,10
US,3/14/2020,511,7
US,3/15/2020,777,10
US,3/16/2020,823,12
US,3/17/2020,887,16
US,3/18/2020,1766,23
US,3/19/2020,2988,42
US,3/20/2020,4835,0
US,3/21/2020,5374,110
US,3/22/2020,7123,80
US,3/23/2020,8459,131
US,3/24/2020,11236,119
US,3/25/2020,8789,211
US,3/26/2020,13963,249
US,3/27/2020,16797,246
US,3/28/2020,18695,411
US,3/29/2020,19979,484
US,3/30/2020,18360,318
US,3/31/2020,21595,661
US,4/1/2020,24998,909
US,4/2/2020,27103,1059
US,4/3/2020,28819,915
US,4/4/2020,32425,1104
US,4/5/2020,34272,1344
US,4/6/2020,25398,1146
US,4/7/2020,30561,1342
US,4/8/2020,30613,1906
US,4/9/2020,33323,1922
US,4/10/2020,33901,1873
US,4/11/2020,35527,2087
US,4/12/2020,28391,1831
US,4/13/2020,27620,1500
US,4/14/2020,25023,1541
US,4/15/2020,26922,2408
US,4/16/2020,30148,4928
US,4/17/2020,31667,2299
US,4/18/2020,30833,3770
US,4/19/2020,32922,1856
US,4/20/2020,24601,1772
US,4/21/2020,28065,1857
US,4/22/2020,37289,2524
US,4/23/2020,17588,1721
US,4/24/2020,26543,3179
US,4/25/2020,21352,1054
US,4/26/2020,48529,2172
US,4/27/2020,26857,1687
US,4/28/2020,22541,1369
US,4/29/2020,24132,2110
US,4/30/2020,27326,2611
US,5/1/2020,29917,2040
US,5/2/2020,33955,2062
US,5/3/2020,29288,1317
US,5/4/2020,24972,1297
US,5/5/2020,22593,1252
US,5/6/2020,23841,2144
US,5/7/2020,24128,2353
US,5/8/2020,28369,2239
US,5/9/2020,26957,1510
US,5/10/2020,25612,1614
US,5/11/2020,20258,734
US,5/12/2020,18117,1156
US,5/13/2020,22048,1703
US,5/14/2020,20782,1746
US,5/15/2020,27143,1773
US,5/16/2020,25508,1662
US,5/17/2020,24487,1186
US,5/18/2020,18873,808
US,5/19/2020,21841,791
US,5/20/2020,19970,1568
US,5/21/2020,23285,1518
US,5/22/2020,25434,1263
US,5/23/2020,24147,1305
US,5/24/2020,21236,1080
US,5/25/2020,20568,633
US,5/26/2020,19064,500
US,5/27/2020,18910,696
US,5/28/2020,18721,1526
US,5/29/2020,21817,1175
US,5/30/2020,25337,1219
US,5/31/2020,23297,945
US,6/1/2020,19807,602
US,6/2/2020,21086,764
US,6/3/2020,20544,1034
US,6/4/2020,19699,994
US,6/5/2020,21140,1036
US,6/6/2020,25178,932
US,6/7/2020,22223,659
US,6/8/2020,22302,712
US,6/9/2020,18822,493
US,6/10/2020,18665,999
US,6/11/2020,20614,918
US,6/12/2020,22883,896
US,6/13/2020,25639,849
US,6/14/2020,25540,767
US,6/15/2020,19543,296
US,6/16/2020,19957,395
US,6/17/2020,23705,836
US,6/18/2020,25559,754
US,6/19/2020,27762,717
US,6/20/2020,29909,678
US,6/21/2020,34158,607
US,6/22/2020,25793,256
US,6/23/2020,31390,427
US,6/24/2020,34720,826
US,6/25/2020,34339,751
US,6/26/2020,40949,2437
US,6/27/2020,45527,623
US,6/28/2020,42486,500
US,6/29/2020,38673,265
US,6/30/2020,41556,336
US,7/1/2020,43880,1270
US,7/2/2020,52048,652
US,7/3/2020,53399,678
US,7/4/2020,54442,694
US,7/5/2020,45221,242
US,7/6/2020,49093,271
US,7/7/2020,49990,359
US,7/8/2020,57473,1174
US,7/9/2020,58906,829
US,7/10/2020,63004,982
US,7/11/2020,66625,806
US,7/12/2020,63051,717
US,7/13/2020,57258,391
US,7/14/2020,58114,400
US,7/15/2020,68518,861
US,7/16/2020,67717,953
US,7/17/2020,76930,939
US,7/18/2020,71494,908
US,7/19/2020,63749,853
US,7/20/2020,61796,415
US,7/21/2020,56750,372
US,7/22/2020,72048,1160
US,7/23/2020,68848,1124
US,7/24/2020,63196,1052
US,7/25/2020,78427,1304
US,7/26/2020,65498,914
US,7/27/2020,55993,475
US,7/28/2020,56243,1076
US,7/29/2020,61734,1245
US,7/30/2020,74985,1457
US,7/31/2020,68032,1357
US,8/1/2020,67023,1244
US,8/2/2020,58407,1133
US,8/3/2020,47511,413
US,8/4/2020,45607,543
US,8/5/2020,57525,1403
US,8/6/2020,52804,1450
US,8/7/2020,59755,1848
US,8/8/2020,58150,1252
US,8/9/2020,56221,1069
US,8/10/2020,46847,513
US,8/11/2020,49530,523
US,8/12/2020,46813,1076
US,8/13/2020,55941,1490
US,8/14/2020,51094,1083
US,8/15/2020,64838,1336
US,8/16/2020,48085,1035
US,8/17/2020,42104,571
US,8/18/2020,35056,445
US,8/19/2020,44091,1324
US,8/20/2020,47426,1356
US,8/21/2020,44005,1078
US,8/22/2020,49880,1151
US,8/23/2020,44378,956
US,8/24/2020,34506,444
US,8/25/2020,38298,473
US,8/26/2020,38119,1207
US,8/27/2020,42848,1228
US,8/28/2020,45909,1110
US,8/29/2020,49654,949
US,8/30/2020,44143,1006
US,8/31/2020,35581,290
US,9/1/2020,33850,529
US,9/2/2020,44639,1091
US,9/3/2020,38754,1055
US,9/4/2020,36249,1053
US,9/5/2020,51071,968
US,9/6/2020,44140,773
US,9/7/2020,30555,403
US,9/8/2020,24250,267
US,9/9/2020,27122,471
US,9/10/2020,31927,1136
US,9/11/2020,37507,974
US,9/12/2020,48061,1227
US,9/13/2020,40820,685
US,9/14/2020,33871,378
US,9/15/2020,34841,451
US,9/16/2020,51473,1407
US,9/17/2020,24598,865
US,9/18/2020,43567,831
US,9/19/2020,50209,956
US,9/20/2020,40295,669
US,9/21/2020,39852,251
US,9/22/2020,53153,372
US,9/23/2020,38307,926
US,9/24/2020,37930,1102
US,9/25/2020,44213,901
US,9/26/2020,55013,964
US,9/27/2020,45368,723
US,9/28/2020,36248,259
US,9/29/2020,32998,314
US,9/30/2020,43017,928
US,10/1/2020,41982,930
US,10/2/2020,44771,880
US,10/3/2020,54471,908
US,10/4/2020,50659,678
US,10/5/2020,34901,400
US,10/6/2020,40705,398
US,10/7/2020,43062,717
US,10/8/2020,48182,892
US,10/9/2020,56800,972
US,10/10/2020,58082,1014
US,10/11/2020,54271,590
US,10/12/2020,43597,394
US,10/13/2020,41653,314
US,10/14/2020,52517,817
US,10/15/2020,59386,970
US,10/16/2020,63785,828
US,10/17/2020,70256,899
US,10/18/2020,56611,690
US,10/19/2020,47843,385
US,10/20/2020,60160,459
US,10/21/2020,58549,933
US,10/22/2020,62978,1135
US,10/23/2020,72058,841
US,10/24/2020,85329,953
US,10/25/2020,83056,904
US,10/26/2020,59440,331
France,1/1/2020,0,0
France,1/2/2020,0,0
France,1/3/2020,0,0
France,1/4/2020,0,0
France,1/5/2020,0,0
France,1/6/2020,0,0
France,1/7/2020,0,0
France,1/8/2020,0,0
France,1/9/2020,0,0
France,1/10/2020,0,0
France,1/11/2020,0,0
France,1/12/2020,0,0
France,1/13/2020,0,0
France,1/14/2020,0,0
France,1/15/2020,0,0
France,1/16/2020,0,0
France,1/17/2020,0,0
France,1/18/2020,0,0
France,1/19/2020,0,0
France,1/20/2020,0,0
France,1/21/2020,0,0
France,1/22/2020,0,0
France,1/23/2020,0,0
France,1/24/2020,0,0
France,1/25/2020,3,0
France,1/26/2020,0,0
France,1/27/2020,0,0
France,1/28/2020,0,0
France,1/29/2020,1,0
France,1/30/2020,1,0
France,1/31/2020,1,0
France,2/1/2020,0,0
France,2/2/2020,0,0
France,2/3/2020,0,0
France,2/4/2020,0,0
France,2/5/2020,0,0
France,2/6/2020,0,0
France,2/7/2020,0,0
France,2/8/2020,5,0
France,2/9/2020,0,0
France,2/10/2020,0,0
France,2/11/2020,0,0
France,2/12/2020,0,0
France,2/13/2020,0,0
France,2/14/2020,0,0
France,2/15/2020,0,1
France,2/16/2020,0,0
France,2/17/2020,1,0
France,2/18/2020,0,0
France,2/19/2020,0,0
France,2/20/2020,0,0
France,2/21/2020,0,0
France,2/22/2020,0,0
France,2/23/2020,0,0
France,2/24/2020,0,0
France,2/25/2020,0,0
France,2/26/2020,2,0
France,2/27/2020,3,1
France,2/28/2020,21,0
France,2/29/2020,19,0
France,3/1/2020,43,0
France,3/2/2020,30,0
France,3/3/2020,48,1
France,3/4/2020,34,1
France,3/5/2020,73,0
France,3/6/2020,138,3
France,3/7/2020,190,2
France,3/8/2020,103,1
France,3/9/2020,410,9
France,3/10/2020,286,11
France,3/11/2020,372,3
France,3/12/2020,497,15
France,3/13/2020,595,13
France,3/14/2020,785,18
France,3/15/2020,838,12
France,3/16/2020,924,36
France,3/17/2020,1210,21
France,3/18/2020,1097,27
France,3/19/2020,1404,69
France,3/20/2020,1861,128
France,3/21/2020,1617,78
France,3/22/2020,1847,112
France,3/23/2020,1559,112
France,3/24/2020,3838,186
France,3/25/2020,2446,240
France,3/26/2020,2931,231
France,3/27/2020,3922,365
France,3/28/2020,3809,299
France,3/29/2020,4611,319
France,3/30/2020,2599,292
France,3/31/2020,4376,418
France,4/1/2020,7578,499
France,4/2/2020,4861,509
France,4/3/2020,2116,471
France,4/4/2020,5233,2004
France,4/5/2020,4267,1053
France,4/6/2020,1873,518
France,4/7/2020,3912,833
France,4/8/2020,3777,1417
France,4/9/2020,3881,541
France,4/10/2020,4286,1341
France,4/11/2020,4342,987
France,4/12/2020,3114,635
France,4/13/2020,1613,561
France,4/14/2020,2673,574
France,4/15/2020,5497,762
France,4/16/2020,2633,1438
France,4/17/2020,2641,753
France,4/18/2020,405,761
France,4/19/2020,2569,642
France,4/20/2020,785,395
France,4/21/2020,2051,547
France,4/22/2020,2667,531
France,4/23/2020,1827,544
France,4/24/2020,1653,516
France,4/25/2020,1773,389
France,4/26/2020,1537,369
France,4/27/2020,461,242
France,4/28/2020,1195,437
France,4/29/2020,1065,367
France,4/30/2020,1607,427
France,5/1/2020,1139,289
France,5/2/2020,604,218
France,5/3/2020,794,166
France,5/4/2020,308,135
France,5/5/2020,576,306
France,5/6/2020,1104,330
France,5/7/2020,4183,278
France,5/8/2020,629,178
France,5/9/2020,642,243
France,5/10/2020,433,80
France,5/11/2020,209,70
France,5/12/2020,456,263
France,5/13/2020,708,348
France,5/14/2020,507,83
France,5/15/2020,622,351
France,5/16/2020,563,130
France,5/17/2020,372,88
France,5/18/2020,120,68
France,5/19/2020,492,186
France,5/20/2020,524,125
France,5/21/2020,418,110
France,5/22/2020,318,83
France,5/23/2020,403,74
France,5/24/2020,240,43
France,5/25/2020,115,35
France,5/26/2020,358,65
France,5/27/2020,276,98
France,5/28/2020,191,66
France,5/29/2020,3325,66
France,5/30/2020,597,52
France,5/31/2020,1828,57
France,6/1/2020,257,31
France,6/2/2020,338,31
France,6/3/2020,-766,107
France,6/4/2020,352,81
France,6/5/2020,767,44
France,6/6/2020,611,46
France,6/7/2020,579,31
France,6/8/2020,343,13
France,6/9/2020,211,54
France,6/10/2020,403,87
France,6/11/2020,545,23
France,6/12/2020,425,27
France,6/13/2020,726,28
France,6/14/2020,526,24
France,6/15/2020,407,9
France,6/16/2020,152,29
France,6/17/2020,344,111
France,6/18/2020,458,28
France,6/19/2020,467,28
France,6/20/2020,811,14
France,6/21/2020,641,16
France,6/22/2020,284,7
France,6/23/2020,373,23
France,6/24/2020,517,57
France,6/25/2020,81,11
France,6/26/2020,0,21
France,6/27/2020,1588,26
France,6/28/2020,0,0
France,6/29/2020,0,0
France,6/30/2020,1324,35
France,7/1/2020,541,30
France,7/2/2020,918,18
France,7/3/2020,659,14
France,7/4/2020,582,18
France,7/5/2020,0,0
France,7/6/2020,0,0
France,7/7/2020,1375,27
France,7/8/2020,475,13
France,7/9/2020,663,32
France,7/10/2020,621,14
France,7/11/2020,658,25
France,7/12/2020,0,0
France,7/13/2020,0,0
France,7/14/2020,1625,25
France,7/15/2020,0,0
France,7/16/2020,927,91
France,7/17/2020,534,18
France,7/18/2020,836,14
France,7/19/2020,0,0
France,7/20/2020,0,0
France,7/21/2020,2080,13
France,7/22/2020,584,0
France,7/23/2020,998,7
France,7/24/2020,1062,10
France,7/25/2020,1130,10
France,7/26/2020,0,0
France,7/27/2020,0,0
France,7/28/2020,2551,17
France,7/29/2020,725,14
France,7/30/2020,1392,15
France,7/31/2020,1377,16
France,8/1/2020,1346,11
France,8/2/2020,0,0
France,8/3/2020,0,0
France,8/4/2020,3376,29
France,8/5/2020,1039,2
France,8/6/2020,1695,9
France,8/7/2020,1604,7
France,8/8/2020,2288,12
France,8/9/2020,0,0
France,8/10/2020,0,0
France,8/11/2020,4854,16
France,8/12/2020,1397,14
France,8/13/2020,2524,17
France,8/14/2020,2669,17
France,8/15/2020,2846,18
France,8/16/2020,3310,3
France,8/17/2020,3015,1
France,8/18/2020,493,19
France,8/19/2020,2238,22
France,8/20/2020,3776,17
France,8/21/2020,4771,12
France,8/22/2020,4586,23
France,8/23/2020,3602,9
France,8/24/2020,4897,1
France,8/25/2020,1955,15
France,8/26/2020,3304,16
France,8/27/2020,5429,0
France,8/28/2020,6111,32
France,8/29/2020,7379,20
France,8/30/2020,5453,6
France,8/31/2020,5413,4
France,9/1/2020,3082,29
France,9/2/2020,4982,26
France,9/3/2020,7017,25
France,9/4/2020,7157,0
France,9/5/2020,8975,0
France,9/6/2020,8550,12
France,9/7/2020,7071,3
France,9/8/2020,4203,25
France,9/9/2020,6544,38
France,9/10/2020,8577,30
France,9/11/2020,9843,19
France,9/12/2020,9406,80
France,9/13/2020,10561,17
France,9/14/2020,7183,6
France,9/15/2020,6158,34
France,9/16/2020,7852,49
France,9/17/2020,9784,46
France,9/18/2020,10593,50
France,9/19/2020,13215,154
France,9/20/2020,13498,25
France,9/21/2020,11569,11
France,9/22/2020,4298,53
France,9/23/2020,10008,78
France,9/24/2020,13072,43
France,9/25/2020,16096,52
France,9/26/2020,15797,150
France,9/27/2020,14412,39
France,9/28/2020,11123,27
France,9/29/2020,4070,81
France,9/30/2020,8051,85
France,10/1/2020,12845,63
France,10/2/2020,13970,63
France,10/3/2020,12148,136
France,10/4/2020,16972,43
France,10/5/2020,12545,32
France,10/6/2020,5104,69
France,10/7/2020,10489,66
France,10/8/2020,18746,80
France,10/9/2020,18129,76
France,10/10/2020,20339,109
France,10/11/2020,26896,54
France,10/12/2020,16101,46
France,10/13/2020,8505,95
France,10/14/2020,12993,108
France,10/15/2020,22591,104
France,10/16/2020,30621,88
France,10/17/2020,25086,178
France,10/18/2020,32427,89
France,10/19/2020,29837,85
France,10/20/2020,13243,146
France,10/21/2020,20468,262
France,10/22/2020,26676,163
France,10/23/2020,41622,162
France,10/24/2020,42032,298
France,10/25/2020,45422,137
France,10/26/2020,52010,116
India,1/1/2020,0,0
India,1/2/2020,0,0
India,1/3/2020,0,0
India,1/4/2020,0,0
India,1/5/2020,0,0
India,1/6/2020,0,0
India,1/7/2020,0,0
India,1/8/2020,0,0
India,1/9/2020,0,0
India,1/10/2020,0,0
India,1/11/2020,0,0
India,1/12/2020,0,0
India,1/13/2020,0,0
India,1/14/2020,0,0
India,1/15/2020,0,0
India,1/16/2020,0,0
India,1/17/2020,0,0
India,1/18/2020,0,0
India,1/19/2020,0,0
India,1/20/2020,0,0
India,1/21/2020,0,0
India,1/22/2020,0,0
India,1/23/2020,0,0
India,1/24/2020,0,0
India,1/25/2020,0,0
India,1/26/2020,0,0
India,1/27/2020,0,0
India,1/28/2020,0,0
India,1/29/2020,0,0
India,1/30/2020,1,0
India,1/31/2020,0,0
India,2/1/2020,0,0
India,2/2/2020,1,0
India,2/3/2020,0,0
India,2/4/2020,1,0
India,2/5/2020,0,0
India,2/6/2020,0,0
India,2/7/2020,0,0
India,2/8/2020,0,0
India,2/9/2020,0,0
India,2/10/2020,0,0
India,2/11/2020,0,0
India,2/12/2020,0,0
India,2/13/2020,0,0
India,2/14/2020,0,0
India,2/15/2020,0,0
India,2/16/2020,0,0
India,2/17/2020,0,0
